EditorID,Path,Field Name,Signature,Value
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Record Header,Record Header,Unknown,Record Header
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Record Header>Signature,Signature,Unknown,PNDT
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Record Header>Data Size,Data Size,Unknown,19191
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Record Header>Record Flags,Record Flags,Unknown,0000000000000000001
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Record Header>Record Flags>Compressed,Compressed,Unknown,1
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Record Header>FormID,FormID,Unknown,AbettiPlanetData [PNDT:0005E570]
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Record Header>Version Control Info 1,Version Control Info 1,Unknown,F2 32 20 00
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Record Header>Form Version,Form Version,Unknown,576
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Record Header>Version Control Info 2,Version Control Info 2,Unknown,05 00
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>EDID - Editor ID,EDID - Editor ID,EDID,AbettiPlanetData
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Base Form Components,Base Form Components,Unknown,Base Form Components
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Base Form Components>Component #0,Component #0,BFCB,Component
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Base Form Components>Component #0>BFCB - Component Type,BFCB - Component Type,BFCB,TESPlanetModel_Component
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Base Form Components>Component #0>Component Data - Planet Model,Component Data - Planet Model,MODL,Component Data - Planet Model
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Base Form Components>Component #0>Component Data - Planet Model>MODL - Model,MODL - Model,MODL,Data/Meshes/Planets/HoudiniPlanets/HoudiniPlanet.nif
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Base Form Components>Component #0>Component Data - Planet Model>FLLD - Light Layer,FLLD - Light Layer,FLLD,1
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Base Form Components>Component #0>Component Data - Planet Model>FLLD - Light Layer>Default Light Layer,Default Light Layer,Unknown,1
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Base Form Components>Component #0>Component Data - Planet Model>XMPM - Unknown,XMPM - Unknown,XMPM,XMPM - Unknown
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Base Form Components>Component #0>Component Data - Planet Model>XMPM - Unknown>Unknown,Unknown,Unknown,Unknown
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Base Form Components>Component #0>Component Data - Planet Model>XMPM - Unknown>Unknown>Unknown #0,Unknown #0,Unknown,default
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Base Form Components>Component #0>Component Data - Planet Model>XMPM - Unknown>Unknown,Unknown,Unknown,Unknown
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Base Form Components>Component #0>Component Data - Planet Model>XMPM - Unknown>Unknown>Unknown,Unknown,Unknown,Unknown
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Base Form Components>Component #0>Component Data - Planet Model>XMPM - Unknown>Unknown>Unknown>Resource:ID,Resource:ID,Unknown,planet_mesh:0
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Base Form Components>Component #0>Component Data - Planet Model>XMPM - Unknown>Unknown>Unknown>File Hash,File Hash,Unknown,4236491037
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Base Form Components>Component #0>Component Data - Planet Model>XMPM - Unknown>Unknown>Unknown>Extension,Extension,Unknown,mat
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Base Form Components>Component #0>Component Data - Planet Model>XMPM - Unknown>Unknown>Unknown>Folder Hash,Folder Hash,Unknown,602692120
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Base Form Components>Component #0>BFCE - End Marker,BFCE - End Marker,BFCE,BFCE - End Marker
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Base Form Components>Component #1,Component #1,BFCB,Component
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Base Form Components>Component #1>BFCB - Component Type,BFCB - Component Type,BFCB,BGSKeywordForm_Component
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Base Form Components>Component #1>Component Data - Keywords,Component Data - Keywords,Unknown,Component Data - Keywords
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Base Form Components>Component #1>Component Data - Keywords>Keywords,Keywords,KSIZ,Keywords
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Base Form Components>Component #1>Component Data - Keywords>Keywords>KSIZ - Keyword Count,KSIZ - Keyword Count,KSIZ,11
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Base Form Components>Component #1>Component Data - Keywords>Keywords>KWDA - Keywords,KWDA - Keywords,KWDA,KWDA - Keywords
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Base Form Components>Component #1>Component Data - Keywords>Keywords>KWDA - Keywords>Keyword,Keyword,Unknown,PlanetMagnetosphereType00None "None" [KYWD:00290FD1]
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Base Form Components>Component #1>Component Data - Keywords>Keywords>KWDA - Keywords>Keyword,Keyword,Unknown,PlanetFaunaProbability00None "None" [KYWD:00295E9D]
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Base Form Components>Component #1>Component Data - Keywords>Keywords>KWDA - Keywords>Keyword,Keyword,Unknown,PlanetFloraProbability00None "None" [KYWD:00295EA1]
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Base Form Components>Component #1>Component Data - Keywords>Keywords>KWDA - Keywords>Keyword,Keyword,Unknown,PlanetAtmosphereType00None "None" [KYWD:00295EAA]
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Base Form Components>Component #1>Component Data - Keywords>Keywords>KWDA - Keywords>Keyword,Keyword,Unknown,PlanetFaunaAbundance00None "None" [KYWD:00295EAF]
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Base Form Components>Component #1>Component Data - Keywords>Keywords>KWDA - Keywords>Keyword,Keyword,Unknown,PlanetFloraAbundance00None "None" [KYWD:00295EB4]
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Base Form Components>Component #1>Component Data - Keywords>Keywords>KWDA - Keywords>Keyword,Keyword,Unknown,PlanetWaterQuality03Chemical "Chemical" [KYWD:00295EB6]
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Base Form Components>Component #1>Component Data - Keywords>Keywords>KWDA - Keywords>Keyword,Keyword,Unknown,PlanetGravity00Low "Low" [KYWD:00295EBD]
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Base Form Components>Component #1>Component Data - Keywords>Keywords>KWDA - Keywords>Keyword,Keyword,Unknown,PlanetTemperature00DeepFreeze "Deep Freeze" [KYWD:00295EC8]
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Base Form Components>Component #1>Component Data - Keywords>Keywords>KWDA - Keywords>Keyword,Keyword,Unknown,PlanetWaterAbundance03Oceanic "Oceanic" [KYWD:00295EC9]
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Base Form Components>Component #1>Component Data - Keywords>Keywords>KWDA - Keywords>Keyword,Keyword,Unknown,PlanetType05Ice "Ice" [KYWD:00295ECF]
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Base Form Components>Component #1>BFCE - End Marker,BFCE - End Marker,BFCE,BFCE - End Marker
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Base Form Components>Component #2,Component #2,BFCB,Component
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Base Form Components>Component #2>BFCB - Component Type,BFCB - Component Type,BFCB,TESFullName_Component
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Base Form Components>Component #2>Component Data - Fullname,Component Data - Fullname,FULL,Component Data - Fullname
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Base Form Components>Component #2>Component Data - Fullname>FULL - Name,FULL - Name,FULL,Abetti
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Base Form Components>Component #2>BFCE - End Marker,BFCE - End Marker,BFCE,BFCE - End Marker
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Base Form Components>Component #3,Component #3,BFCB,Component
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Base Form Components>Component #3>BFCB - Component Type,BFCB - Component Type,BFCB,TESModel_Component
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Base Form Components>Component #3>Component Data - FLLD,Component Data - FLLD,FLLD,Component Data - FLLD
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Base Form Components>Component #3>Component Data - FLLD>FLLD - Light Layer,FLLD - Light Layer,FLLD,1
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Base Form Components>Component #3>Component Data - FLLD>FLLD - Light Layer>Default Light Layer,Default Light Layer,Unknown,1
AbettiPlanetData,AbettiPlanetData [PNDT:0005E570]>Base Form Components>Component #3>BFCE - End Marker,BFCE - End Marker,BFCE,BFCE - End Marker
