EditorID,BaseMesh,PlanetMat_int,AtmoMat_int,AtmoMatOuter_int,FULL_Name,SurfaceTree,ScanMult,ANAM_Name,BodyType,MajorAxis,MinorAxis,Aphelion,Eccentricity,Incline_r,MeanOrbit,AxialTilt_r,RotationalVelocity,StartAngle,ApplyOrbitalVelocity,GeostationaryOrbit,GravityWell,Mass_Earth,Radius_km,SurfaceGravity,SystemID,ParentID,PlanetID,Life,Magnetosphere,PlanetType,Density,SettledStar,Special,HasRings,AtmosphereForm,AtmoFrac,AtmoRay,AtmoMie,BiomeNoiseFile,BNoiseType,THeightSeed,TMaxHeight_m,TemperatureC,PlanetaryRingType_kw,PlanetNotLandable_kw,DisableWaterOnPlanet_kw,LocTypeNoHumanPresence_kw,LocTypeNoPCMScanTreeContent_kw,FaunaExists_kw,Magnetosphere_kw,FaunaProbability_kw,FloraProbability_kw,Atmosphere_kw,FaunaAbundance_kw,FloraAbundance_kw,WaterQuality_kw,Gravity_kw,Pressure_kw,Temperature_kw,WaterAbundance_kw,PlanetType_kw,PlanetTrait01_kw,PlanetTrait02_kw,PlanetTrait03_kw,PlanetTrait04_kw,PlanetTrait05_kw,PlanetTrait06_kw,PlanetTrait07_kw,PlanetTrait08_kw,PlanetTrait09_kw,PlanetTrait10_kw,PlanetTrait11_kw,PlanetTrait12_kw,PlanetTrait13_kw,PlanetTrait14_kw,PlanetTrait15_kw,PlanetTrait16_kw,PlanetTrait17_kw,PlanetTrait18_kw,PlanetTrait19_kw,PlanetTrait20_kw,PlanetTrait21_kw,PlanetTrait22_kw,PlanetTrait23_kw,PlanetTrait24_kw,PlanetTrait25_kw,Biome0_Name,Biome0_Chance,Biome0_Fauna0,Biome0_Fauna1,Biome0_Fauna2,Biome0_Fauna3,Biome0_Fauna4,Biome0_Fauna5,Biome0_Fauna6,Biome0_Fauna7,Biome0_FloraCount,Biome0_Flora0_Frequency,Biome0_Flora0_Name,Biome0_Flora0_Resource,Biome0_Flora1_Frequency,Biome0_Flora1_Name,Biome0_Flora1_Resource,Biome0_Flora2_Frequency,Biome0_Flora2_Name,Biome0_Flora2_Resource,Biome0_Flora3_Frequency,Biome0_Flora3_Name,Biome0_Flora3_Resource,Biome0_Flora4_Frequency,Biome0_Flora4_Name,Biome0_Flora4_Resource,Biome1_Name,Biome1_Chance,Biome1_Fauna0,Biome1_Fauna1,Biome1_Fauna2,Biome1_Fauna3,Biome1_Fauna4,Biome1_Fauna5,Biome1_Fauna6,Biome1_Fauna7,Biome1_FloraCount,Biome1_Flora0_Frequency,Biome1_Flora0_Name,Biome1_Flora0_Resource,Biome1_Flora1_Frequency,Biome1_Flora1_Name,Biome1_Flora1_Resource,Biome1_Flora2_Frequency,Biome1_Flora2_Name,Biome1_Flora2_Resource,Biome1_Flora3_Frequency,Biome1_Flora3_Name,Biome1_Flora3_Resource,Biome1_Flora4_Frequency,Biome1_Flora4_Name,Biome1_Flora4_Resource,Biome2_Name,Biome2_Chance,Biome2_Fauna0,Biome2_Fauna1,Biome2_Fauna2,Biome2_Fauna3,Biome2_Fauna4,Biome2_Fauna5,Biome2_Fauna6,Biome2_Fauna7,Biome2_Fauna8,Biome2_FloraCount,Biome2_Flora0_Frequency,Biome2_Flora0_Name,Biome2_Flora0_Resource,Biome2_Flora1_Frequency,Biome2_Flora1_Name,Biome2_Flora1_Resource,Biome2_Flora2_Frequency,Biome2_Flora2_Name,Biome2_Flora2_Resource,Biome2_Flora3_Frequency,Biome2_Flora3_Name,Biome2_Flora3_Resource,Biome2_Flora4_Frequency,Biome2_Flora4_Name,Biome2_Flora4_Resource,Biome2_Flora5_Frequency,Biome2_Flora5_Name,Biome2_Flora5_Resource,Biome2_Flora6_Frequency,Biome2_Flora6_Name,Biome2_Flora6_Resource,Biome3_Name,Biome3_Chance,Biome3_Fauna0,Biome3_Fauna1,Biome3_Fauna2,Biome3_Fauna3,Biome3_Fauna4,Biome3_Fauna5,Biome3_Fauna6,Biome3_Fauna7,Biome3_Fauna8,Biome3_FloraCount,Biome3_Flora0_Frequency,Biome3_Flora0_Name,Biome3_Flora0_Resource,Biome3_Flora1_Frequency,Biome3_Flora1_Name,Biome3_Flora1_Resource,Biome3_Flora2_Frequency,Biome3_Flora2_Name,Biome3_Flora2_Resource,Biome3_Flora3_Frequency,Biome3_Flora3_Name,Biome3_Flora3_Resource,Biome3_Flora4_Frequency,Biome3_Flora4_Name,Biome3_Flora4_Resource,Biome3_Flora5_Frequency,Biome3_Flora5_Name,Biome3_Flora5_Resource,Biome3_Flora6_Frequency,Biome3_Flora6_Name,Biome3_Flora6_Resource,Biome4_Name,Biome4_Chance,Biome4_Fauna0,Biome4_Fauna1,Biome4_Fauna2,Biome4_Fauna3,Biome4_Fauna4,Biome4_Fauna5,Biome4_Fauna6,Biome4_FloraCount,Biome4_Flora0_Frequency,Biome4_Flora0_Name,Biome4_Flora0_Resource,Biome4_Flora1_Frequency,Biome4_Flora1_Name,Biome4_Flora1_Resource,Biome4_Flora2_Frequency,Biome4_Flora2_Name,Biome4_Flora2_Resource,Biome4_Flora3_Frequency,Biome4_Flora3_Name,Biome4_Flora3_Resource,Biome4_Flora4_Frequency,Biome4_Flora4_Name,Biome4_Flora4_Resource,Biome4_Flora5_Frequency,Biome4_Flora5_Name,Biome4_Flora5_Resource,Biome5_Name,Biome5_Chance,Biome5_Fauna0,Biome5_Fauna1,Biome5_Fauna2,Biome5_Fauna3,Biome5_Fauna4,Biome5_Fauna5,Biome5_Fauna6,Biome5_FloraCount,Biome5_Flora0_Frequency,Biome5_Flora0_Name,Biome5_Flora0_Resource,Biome5_Flora1_Frequency,Biome5_Flora1_Name,Biome5_Flora1_Resource,Biome5_Flora2_Frequency,Biome5_Flora2_Name,Biome5_Flora2_Resource,Biome5_Flora3_Frequency,Biome5_Flora3_Name,Biome5_Flora3_Resource,Biome5_Flora4_Frequency,Biome5_Flora4_Name,Biome5_Flora4_Resource,Biome5_Flora5_Frequency,Biome5_Flora5_Name,Biome5_Flora5_Resource,Biome6_Name,Biome6_Chance,Biome6_Fauna0,Biome6_Fauna1,Biome6_Fauna2,Biome6_Fauna3,Biome6_Fauna4,Biome6_Fauna5,Biome6_FloraCount,Biome6_Flora0_Frequency,Biome6_Flora0_Name,Biome6_Flora0_Resource,Biome6_Flora1_Frequency,Biome6_Flora1_Name,Biome6_Flora1_Resource,Biome6_Flora2_Frequency,Biome6_Flora2_Name,Biome6_Flora2_Resource,Biome6_Flora3_Frequency,Biome6_Flora3_Name,Biome6_Flora3_Resource,Biome6_Flora4_Frequency,Biome6_Flora4_Name,Biome6_Flora4_Resource,Biome7_Name,Biome7_Chance,Biome7_Fauna0,Biome7_Fauna1,Biome7_Fauna2,Biome7_Fauna3,Biome7_Fauna4,Biome7_Fauna5,Biome7_Fauna6,Biome7_FloraCount,Biome7_Flora0_Frequency,Biome7_Flora0_Name,Biome7_Flora0_Resource,Biome7_Flora1_Frequency,Biome7_Flora1_Name,Biome7_Flora1_Resource,Biome7_Flora2_Frequency,Biome7_Flora2_Name,Biome7_Flora2_Resource,Biome7_Flora3_Frequency,Biome7_Flora3_Name,Biome7_Flora3_Resource,Worldspace0_Name,Worldspace0_Lat,Worldspace0_Lon,Worldspace1_Name,Worldspace1_Lat,Worldspace1_Lon,Worldspace2_Name,Worldspace2_Lat,Worldspace2_Lon,Worldspace3_Name,Worldspace3_Lat,Worldspace3_Lon,Worldspace4_Name,Worldspace4_Lat,Worldspace4_Lon,Worldspace5_Name,Worldspace5_Lat,Worldspace5_Lon,Worldspace6_Name,Worldspace6_Lat,Worldspace6_Lon,Worldspace7_Name,Worldspace7_Lat,Worldspace7_Lon,Worldspace8_Name,Worldspace8_Lat,Worldspace8_Lon,Worldspace9_Name,Worldspace9_Lat,Worldspace9_Lon,Worldspace10_Name,Worldspace10_Lat,Worldspace10_Lon
AbettiPlanetData,Data/Meshes/Planets/HoudiniPlanets/HoudiniPlanet.nif,4236491037,,,Abetti,AbettiSurfaceTree [SFTR:001676EA],0.46,Abetti,Moon,625700.3786,625659.3618,632864.6479,0.0115,0.0366117727379004,626985.0,0.0698,0.0,0.0,True,False,60964000.0,0.06,3309.0,0.22,83865 (Lunara),5,14,,,Ice,,,,False,AtmoNoneFrozen [ATMO:0000AC31],0.0,0.0,0.0,,0.0,0.0,0.0,-193.0,,,,,,,True,True,True,True,True,True,Chemical,Low,,Deep Freeze,Oceanic,Ice,,,,,,,,,,,,,,,,,,,,,,,,,,"FrozenNoLife01 ""Frozen Plains"" [BIOM:000FC620]",100.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AgamonAPlanetData,Data/Meshes/Planets/HoudiniPlanets/HoudiniPlanet.nif,3303977090,,,Agamon A,AgamonASurfaceTree [SFTR:000478A9],0.42,Agamon A,Moon,79554.1849,79553.2863,79932.30596,0.004753,0.029316296261549,79556.0,0.261799,2.106594,0.0,True,False,5548000.0,0.018,2372.0,0.13,72432 (Cheyenne),6,22,,,Ice,,Cheyenne,,False,AtmoNoneFrozen [ATMO:0000AC31],0.0,0.0,0.0,,0.0,0.0,0.0,-188.0,,,,,,,True,True,True,True,True,True,Safe,Low,,Deep Freeze,Oceanic,Ice,,,,,,Coralline Landmass,Crystalline Crust,,,,,Frozen Ecosystem,,,,,,,,,,,,,,"FrozenNoLife02 ""Frozen Hills"" [BIOM:000FC61F]",80.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,"CanyonsNoLife01 ""Plateau"" [BIOM:0025D992]",20.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AgamonBPlanetData,Data/Meshes/Planets/HoudiniPlanets/HoudiniPlanet.nif,1575477560,,,Agamon B,AgamonBSurfaceTree [SFTR:000478A7],0.47,Agamon B,Moon,106887.7122,106887.5492,107095.0137,0.0019,0.000733038306236267,106888.0,0.0698,0.0,0.0,True,True,9061000.0,0.1,3659.0,0.3,72432 (Cheyenne),6,21,,,Ice,,Cheyenne,,False,AtmoNoneFrozen [ATMO:0000AC31],0.0,0.0,0.0,,0.0,0.0,0.0,-191.0,,,,,,,True,True,True,True,True,True,Chemical,Low,,Deep Freeze,Oceanic,Ice,,,,,,,,,,,,,Gaseous Font,,,,,,,,,,,,,"FrozenNoLife03 ""Frozen Mountains"" [BIOM:000FC61E]",100.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AgamonCPlanetData,Data/Meshes/Planets/HoudiniPlanets/HoudiniPlanet.nif,719376814,,,Agamon C,AgamonCSurfaceTree [SFTR:000FC9BE],0.42,Agamon C,Moon,214468.0849,214467.6443,214902.8117,0.002,0.0540406311333179,214469.0,0.1571,0.0,0.0,True,False,14494000.0,0.027,2387.0,0.19,72432 (Cheyenne),6,20,,,Ice,,Cheyenne,,False,AtmoNoneFrozen [ATMO:0000AC31],0.0,0.0,0.0,,0.0,0.0,0.0,-190.0,,,,,,,True,True,True,True,True,True,Safe,Low,,Deep Freeze,Oceanic,Ice,,,,,,,,,,,,,,,,,,,,,,,,,,"FrozenNoLife04 ""Frozen Dunes"" [BIOM:000A86DB]",100.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AgamonDPlanetData,Data/Meshes/Planets/HoudiniPlanets/HoudiniPlanet.nif,3028567053,,,Agamon D,AgamonDSurfaceTree [SFTR:000FC9BD],0.43,Agamon D,Moon,447323.6808,446887.3631,467076.1526,0.044157,0.0586570271333059,448125.0,0.174533,0.333333,0.0,True,False,36573000.0,0.048,2749.0,0.26,72432 (Cheyenne),6,19,,,Ice,,Cheyenne,,False,AtmoNoneFrozen [ATMO:0000AC31],0.0,0.0,0.0,,0.0,0.0,0.0,-190.0,,,,,,,True,True,True,True,True,True,Chemical,Low,,Deep Freeze,Oceanic,Ice,,,,,,,,,,,,,,,,,,,,,,,,,,"FrozenNoLife05 ""Frozen Plains"" [BIOM:000FC61A]",100.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AgamonPlanetData,Data/Meshes/Planets/HoudiniPlanets/HoudiniPlanet.nif,2678351868,1426916648,,Agamon,AgamonSurfaceTree [SFTR:0039100E],0.94,Agamon,Planet,1368002115.18257,1363586134.9035,1477832165.0,0.080285,0.00401425734162331,1375600000.0,0.15708,1.411765,0.0,True,False,44716772000.0,29.471,27684.0,1.56,72432 (Cheyenne),0,6,,Weak,Ice G.,,Cheyenne,,True,,,,,,0.0,0.0,0.0,-187.0,True,True,True,,,,Weak,Unlikely,Unlikely,H2,True,True,True,High,,Deep Freeze,True,Ice Giant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AionPlanetData,Data/Meshes/Planets/HoudiniPlanets/HoudiniPlanet_atmo.nif,2414346756,366906637,,Aion,NULL - Null Reference [00000000],1.32,Aion,Planet,2665535494.30977,2613882428.13321,3187740553.0,0.19591,0.085870198905468,2739040000.0,0.331613,3.428571,0.0,True,False,183056412000.0,236.102,63002.0,2.42,72957 (Olympus),0,6,,Massive,Gas G.,,,,False,,,,,,0.0,0.0,0.0,-225.0,,True,True,,,,Extreme,True,True,H2,True,True,True,Extreme,,Deep Freeze,True,Gas Giant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AkilaPlanetData,Data/Meshes/Planets/HoudiniPlanets/HoudiniPlanet_atmo_effect.nif,2716183406,,4015781273,Akila,AkilaSurfaceTree [SFTR:0027CF9F],1.0,Akila,Planet,148903808.820602,148874567.682329,151854635.6,0.019817,0.0584685280919075,148960000.0,0.017453,0.857143,0.0,True,False,2329229000.0,3.215,9302.0,1.51,72432 (Cheyenne),0,2,Yes,Strong,Rock,,Cheyenne,,False,ATMO_Akila [ATMO:0000C02E],0.25,0.0025,0.001, NONE,0.0,1486664364.0,0.0,11.0,,,,,,True,Very Strong,Possible,Possible,O2,Moderate,Moderate,Biological,High,High,Temperate,Terrestrial,Rock,,,,,,,Crystalline Crust,,,,,,,,,,Primordial Network,,,,,,,,,"OceanLife01 ""Ocean"" [BIOM:0007F88B]",55.0,"PCM_Cheyenne_Akila_RainbowAgnathan ""Rainbow Agnathan"" [NPC_:0023CAF9]",,,,,,,,0.0,,,,,,,,,,,,,,,,"FrozenLife10 ""Frozen Plains"" [BIOM:000FD00A]",10.0,"PCM_Cheyenne_Akila_Ashta ""Ashta"" [NPC_:0023CB02]","PCM_Cheyenne_Akila_BaleenRotifer ""Baleen Rotifer"" [NPC_:0023CAFD]","PCM_Cheyenne_Akila_CrawlingEurypterid ""Crawling Eurypterid"" [NPC_:0023CAF1]","PCM_Cheyenne_Akila_ElkCrangon ""Elk Crangon"" [NPC_:0023CB03]","PCM_Cheyenne_Akila_FlyingLeech ""Flying Leech"" [NPC_:0023CAE3]",,,,3.0,25,"FloraBiomeForestConiferous03 ""Golden Creeper"" [FLOR:00185487]","OrgRareHallucinogen_Leaf ""Hallucinogen (Leaf)"" [MISC:00260D75]",100,"FloraBiomeFrozen06 ""Chillhook"" [FLOR:002F8098]","OrgCommonToxin_Sap ""Toxin (Sap)"" [MISC:00260DDE]",100,"FloraBiomeFrozen10 ""Cold Cave Nettle"" [FLOR:002F80A0]","OrgCommonNutrient_Leaf ""Nutrient (Leaf)"" [MISC:00260DF5]",,,,,,,"ForestConiferousLife13 ""Coniferous Forest"" [BIOM:00203E9F]",10.0,"PCM_Cheyenne_Akila_Ashta ""Ashta"" [NPC_:0023CB02]","PCM_Cheyenne_Akila_Buzzrunner ""Buzzrunner"" [NPC_:0023CAE2]","PCM_Cheyenne_Akila_CrawlingEurypterid ""Crawling Eurypterid"" [NPC_:0023CAF1]","PCM_Cheyenne_Akila_Dropsalm ""Dropsalm"" [NPC_:0023CAE5]","PCM_Cheyenne_Akila_GrazingEnsifer ""Grazing Ensifer"" [NPC_:0023CAE6]",,,,,4.0,100,"FloraBiomeForestConiferous03 ""Golden Creeper"" [FLOR:00185487]","OrgRareHallucinogen_Leaf ""Hallucinogen (Leaf)"" [MISC:00260D75]",25,"FloraBiomeFrozen06 ""Chillhook"" [FLOR:002F8098]","OrgCommonToxin_Sap ""Toxin (Sap)"" [MISC:00260DDE]",30,"FloraBiomeSavanna03 ""Canary Reed"" [FLOR:001854F5]","OrgCommonNutrient_Seed ""Nutrient (Seed)"" [MISC:00260DF2]",50,"FloraBiomeSavanna01 ""Savanna Sweetbush"" [FLOR:001854F7]","OrgCommonFiber_Leaf ""Fiber (Leaf)"" [MISC:00260DEE]",,,,,,,,,,"SavannaLifeAkila ""Savanna"" [BIOM:00203EA1]",25.0,"PCM_Cheyenne_Akila_Ashta ""Ashta"" [NPC_:0023CB02]","PCM_Cheyenne_Akila_BaleenRotifer ""Baleen Rotifer"" [NPC_:0023CAFD]","PCM_Cheyenne_Akila_ElkCrangon ""Elk Crangon"" [NPC_:0023CB03]","PCM_Cheyenne_Akila_GrazingEnsifer ""Grazing Ensifer"" [NPC_:0023CAE6]","PCM_Cheyenne_Akila_Mossgnath ""Mossgnath"" [NPC_:0023CAE8]",,,,,3.0,100,"FloraBiomeSavanna01 ""Savanna Sweetbush"" [FLOR:001854F7]","OrgCommonFiber_Leaf ""Fiber (Leaf)"" [MISC:00260DEE]",100,"FloraBiomeSavanna03 ""Canary Reed"" [FLOR:001854F5]","OrgCommonNutrient_Seed ""Nutrient (Seed)"" [MISC:00260DF2]",25,"FloraBiomeForestConiferous03 ""Golden Creeper"" [FLOR:00185487]","OrgRareHallucinogen_Leaf ""Hallucinogen (Leaf)"" [MISC:00260D75]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LC006World ""Shaw Gang Hideout"" [WRLD:002639EC]",0.089142206364,1.377134050123,"akilacity ""Akila City"" [WRLD:0027CFA2]",0.088859623771,1.377406491404,,,,,,,,,,,,,,,,,,,,,,,,,,,
Al-BattaniI-aPlanetData,Data/Meshes/Planets/HoudiniPlanets/HoudiniPlanet.nif,266153602,,,Al-Battani I-a,Al-BattaniI-aSurfaceTree [SFTR:00169A3E],0.45,Al-Battani I-a,Moon,202735.4952,202701.5824,206443.5274,0.0183,0.213467736093203,202813.0,0.1396,0.0,0.0,True,False,46823000.0,0.054,3112.0,0.23,65147 (Al-Battani),1,10,,,Barren,,,,False,AtmoNone [ATMO:003D248F],0.0,0.0,0.0,,0.0,0.0,0.0,391.0,,,True,,,,True,True,True,True,True,True,True,Low,,Inferno,True,Barren,,Boiled Seas,,,,,,,,,,,,,,,,,,,,,,,,"CrateredNoLife01 ""Craters"" [BIOM:0025F490]",100.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Al-BattaniI-bPlanetData,Data/Meshes/Planets/HoudiniPlanets/HoudiniPlanet.nif,2530508600,,,Al-Battani I-b,Al-BattaniI-bSurfaceTree [SFTR:00169A3D],0.46,Al-Battani I-b,Moon,299064.0142,299050.089,301949.9819,0.0097,0.0507506854017576,373438.0,0.0524,0.0,0.0,True,False,76302000.0,0.073,3316.0,0.27,65147 (Al-Battani),1,11,,,Barren,,,,False,AtmoNone [ATMO:003D248F],0.0,0.0,0.0,,0.0,0.0,0.0,423.0,,,True,,,,True,True,True,True,True,True,True,Low,,Inferno,True,Barren,,,,Charred Ecosystem,,,,,,,,,,,,,,,,,,,,,,"CrateredNoLife02 ""Craters"" [BIOM:00216D44]",100.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
